	species01.transcriptome.dna.fa.transdecoder.pep_defl	species02.transcriptome.dna.fa.transdecoder.pep_defl	species03.transcriptome.dna.fa.transdecoder.pep_defl	species04.transcriptome.dna.fa.transdecoder.pep_defl	species05.transcriptome.dna.fa.transdecoder.pep_defl	species06.transcriptome.dna.fa.transdecoder.pep_defl	species07.transcriptome.dna.fa.transdecoder.pep_defl	species08.transcriptome.dna.fa.transdecoder.pep_defl	species09.transcriptome.dna.fa.transdecoder.pep_defl	species10.transcriptome.dna.fa.transdecoder.pep_defl	species11.transcriptome.dna.fa.transdecoder.pep_defl	species12.transcriptome.dna.fa.transdecoder.pep_defl
species01.transcriptome.dna.fa.transdecoder.pep_defl	29	28	28	25	24	23	25	14	19	16	18	20
species02.transcriptome.dna.fa.transdecoder.pep_defl	28	29	27	24	25	23	24	14	19	15	18	21
species03.transcriptome.dna.fa.transdecoder.pep_defl	28	27	28	24	23	22	25	13	18	16	17	20
species04.transcriptome.dna.fa.transdecoder.pep_defl	25	24	24	25	21	20	22	12	15	13	16	17
species05.transcriptome.dna.fa.transdecoder.pep_defl	24	25	23	21	25	20	20	12	18	14	15	18
species06.transcriptome.dna.fa.transdecoder.pep_defl	23	23	22	20	20	23	20	11	15	13	16	18
species07.transcriptome.dna.fa.transdecoder.pep_defl	25	24	25	22	20	20	25	11	16	15	16	17
species08.transcriptome.dna.fa.transdecoder.pep_defl	14	14	13	12	12	11	11	14	9	6	10	10
species09.transcriptome.dna.fa.transdecoder.pep_defl	19	19	18	15	18	15	16	9	19	13	12	13
species10.transcriptome.dna.fa.transdecoder.pep_defl	16	15	16	13	14	13	15	6	13	16	12	11
species11.transcriptome.dna.fa.transdecoder.pep_defl	18	18	17	16	15	16	16	10	12	12	20	15
species12.transcriptome.dna.fa.transdecoder.pep_defl	20	21	20	17	18	18	17	10	13	11	15	21
