	species01.transcriptome.dna.fa.transdecoder.pep_defl	species02.transcriptome.dna.fa.transdecoder.pep_defl	species03.transcriptome.dna.fa.transdecoder.pep_defl	species04.transcriptome.dna.fa.transdecoder.pep_defl	species05.transcriptome.dna.fa.transdecoder.pep_defl	species06.transcriptome.dna.fa.transdecoder.pep_defl	species07.transcriptome.dna.fa.transdecoder.pep_defl	species08.transcriptome.dna.fa.transdecoder.pep_defl	species09.transcriptome.dna.fa.transdecoder.pep_defl	species10.transcriptome.dna.fa.transdecoder.pep_defl	species11.transcriptome.dna.fa.transdecoder.pep_defl	species12.transcriptome.dna.fa.transdecoder.pep_defl
species01.transcriptome.dna.fa.transdecoder.pep_defl	0.0	28.0	28.0	25.0	24.0	23.0	25.0	14.0	19.0	16.0	18.0	20.0
species02.transcriptome.dna.fa.transdecoder.pep_defl	28.0	0.0	27.0	24.0	25.0	23.0	24.0	14.0	19.0	15.0	18.0	21.0
species03.transcriptome.dna.fa.transdecoder.pep_defl	28.0	27.0	0.0	24.0	23.0	22.0	25.0	13.0	18.0	16.0	17.0	20.0
species04.transcriptome.dna.fa.transdecoder.pep_defl	25.0	24.0	24.0	0.0	21.0	20.0	22.0	12.0	15.0	13.0	16.0	17.0
species05.transcriptome.dna.fa.transdecoder.pep_defl	24.0	25.0	23.0	21.0	0.0	20.0	20.0	12.0	18.0	14.0	15.0	18.0
species06.transcriptome.dna.fa.transdecoder.pep_defl	23.0	23.0	22.0	20.0	20.0	0.0	20.0	11.0	15.0	13.0	16.0	18.0
species07.transcriptome.dna.fa.transdecoder.pep_defl	25.0	24.0	25.0	22.0	20.0	20.0	0.0	11.0	16.0	15.0	16.0	17.0
species08.transcriptome.dna.fa.transdecoder.pep_defl	14.0	14.0	13.0	12.0	12.0	11.0	11.0	0.0	9.0	6.0	10.0	10.0
species09.transcriptome.dna.fa.transdecoder.pep_defl	19.0	19.0	18.0	15.0	18.0	15.0	16.0	9.0	0.0	13.0	12.0	13.0
species10.transcriptome.dna.fa.transdecoder.pep_defl	16.0	15.0	16.0	13.0	14.0	13.0	15.0	6.0	13.0	0.0	12.0	11.0
species11.transcriptome.dna.fa.transdecoder.pep_defl	18.0	18.0	17.0	16.0	15.0	16.0	16.0	10.0	12.0	12.0	0.0	15.0
species12.transcriptome.dna.fa.transdecoder.pep_defl	20.0	21.0	20.0	17.0	18.0	18.0	17.0	10.0	13.0	11.0	15.0	0.0
