Number of species	12
Number of genes	279
Number of genes in orthogroups	275
Number of unassigned genes	4
Percentage of genes in orthogroups	98.6
Percentage of unassigned genes	1.4
Number of orthogroups	31
Number of species-specific orthogroups	1
Number of genes in species-specific orthogroups	2
Percentage of genes in species-specific orthogroups	0.7
Mean orthogroup size	8.9
Median orthogroup size	9.0
G50 (assigned genes)	10
G50 (all genes)	10
O50 (assigned genes)	13
O50 (all genes)	13
Number of orthogroups with all species present	2
Number of single-copy orthogroups	2
Date	2022-12-20
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	29	93.5	251	91.3
'1	2	6.5	24	8.7
'2	0	0.0	0	0.0
'3	0	0.0	0	0.0
'4	0	0.0	0	0.0
'5	0	0.0	0	0.0
'6	0	0.0	0	0.0
'7	0	0.0	0	0.0
'8	0	0.0	0	0.0
'9	0	0.0	0	0.0
'10	0	0.0	0	0.0
11-15	0	0.0	0	0.0
16-20	0	0.0	0	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	1
2	0
3	0
4	1
5	1
6	1
7	1
8	7
9	5
10	6
11	6
12	2
