HOG	OG	Gene Tree Parent Clade	species01.transcriptome.dna.fa.transdecoder.pep_defl	species02.transcriptome.dna.fa.transdecoder.pep_defl	species03.transcriptome.dna.fa.transdecoder.pep_defl	species04.transcriptome.dna.fa.transdecoder.pep_defl	species05.transcriptome.dna.fa.transdecoder.pep_defl	species06.transcriptome.dna.fa.transdecoder.pep_defl	species07.transcriptome.dna.fa.transdecoder.pep_defl	species08.transcriptome.dna.fa.transdecoder.pep_defl	species09.transcriptome.dna.fa.transdecoder.pep_defl	species10.transcriptome.dna.fa.transdecoder.pep_defl	species11.transcriptome.dna.fa.transdecoder.pep_defl	species12.transcriptome.dna.fa.transdecoder.pep_defl
N8.HOG0000000	OG0000000	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm000215t1_84-7202.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000095t1_181-7299.p1							
N8.HOG0000001	OG0000001	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm000891t1_199-4410.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000868t1_10-3303.p1							
N8.HOG0000002	OG0000002	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001349t1_522-3836.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000708t1_348-3647.p1							
N8.HOG0000003	OG0000003	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001385t1_145-3645.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000734t1_64-3573.p1							
N8.HOG0000004	OG0000004	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001552t2_278-1702.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000420t1_2847-4580.p1							
N8.HOG0000005	OG0000005	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001748t1_101-3229.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000959t1_143-3274.p1							
N8.HOG0000006	OG0000006	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm002013t1_129-3047.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001147t1_436-3354.p1							
N8.HOG0000007	OG0000007	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm002098t1_172-3030.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001200t1_272-3136.p1							
N8.HOG0000008	OG0000008	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001479t1_94-3492.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001113t1_46-2982.p1							
N8.HOG0000009	OG0000009	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001561t1_75-3353.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000861t1_16-3294.p1							
N8.HOG0000010	OG0000010	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001615t1_115-3306.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm007313t1_131-1367.p1							
N8.HOG0000011	OG0000011	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001898t1_255-3140.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001197t1_12-2939.p1							
N8.HOG0000012	OG0000012	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001931t1_37-3018.p1											
N8.HOG0000013	OG0000013	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm002458t1_231-2624.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001737t1_290-2161.p1							
N8.HOG0000014	OG0000014	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm000157t1_53-8032.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000060t1_104-8080.p1							
N8.HOG0000015	OG0000015	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001332t1_180-3722.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000707t1_80-3610.p1							
N8.HOG0000016	OG0000016	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm002210t1_85-2865.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001263t1_102-2882.p1							
N8.HOG0000017	OG0000017	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm002225t1_199-2826.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm001264t1_149-2833.p1							
N8.HOG0000018	OG0000018	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm003414t1_188-2512.p1											
N8.HOG0000019	OG0000019	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm000195t1_122-5341.p1											
N8.HOG0000020	OG0000020	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm000865t1_159-4385.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000465t1_126-4364.p1							
N8.HOG0000021	OG0000021	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001268t1_87-3737.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000665t1_172-3822.p1							
N8.HOG0000022	OG0000022	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001282t1_203-3733.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000550t1_219-3740.p1							
N8.HOG0000023	OG0000023	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001298t1_875-2926.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000664t1_827-2878.p1							
N8.HOG0000024	OG0000024	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001410t1_201-3665.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm002453t1_108-2090.p1							
N8.HOG0000025	OG0000025	n0	species01.transcriptome.dna.fa.transdecoder.pep|Procl2_EVm001417t1_146-3508.p1				species05.transcriptome.dna.fa.transdecoder.pep|ChequaEVm000798t2_133-3474.p1							
